review_description,rating,Year,Month,Day,review_descriptiont,content_token,sentiment,stemmed,text_string
keren tampilan y,5,2018,2,6,keren tampilan y,"['keren', 'tampilan', 'y']",1,"['keren', 'tampil', 'y']",keren tampil
sangat mmpermudah,5,2018,2,7,sangat mmpermudah,['mmpermudah'],1,['mmpermudah'],mmpermudah
keren...,5,2018,2,7,keren...,['keren'],1,['keren'],keren
"metode pembayarannya di tambah dong, e cash linepay cash, dll jangan hilang",4,2018,2,7,"metode pembayarannya di tambah dong, e cash linepay cash, dll jangan hilang","['metode', 'pembayarannya', 'e', 'cash', 'linepay', 'cash', 'dll', 'hilang']",1,"['metode', 'bayar', 'e', 'cash', 'linepay', 'cash', 'dll', 'hilang']",metode bayar cash linepay cash hilang
lebih praktis 😀,5,2018,2,7,lebih praktis 😀,['praktis'],1,['praktis'],praktis
mantab !!! sangat membantu,5,2018,2,7,mantab !!! sangat membantu,"['mantab', 'membantu']",1,"['mantab', 'bantu']",mantab bantu
ini baru namanya mantap,5,2018,2,8,ini baru namanya mantap,"['namanya', 'mantap']",1,"['nama', 'mantap']",nama mantap
masukan bikin dompet bareksa na dong biar pembayaran lbh simpel..,4,2018,2,10,masukan bikin dompet bareksa na dong biar pembayaran lbh simpel..,"['masukan', 'bikin', 'dompet', 'na', 'biar', 'pembayaran', 'lbh', 'simpel']",1,"['masuk', 'bikin', 'dompet', 'na', 'biar', 'bayar', 'lbh', 'simpel']",masuk bikin dompet biar bayar simpel
saran tambah fitur e-dompet. dan lebih tingkatkan lagi fitur2nya,5,2018,2,10,saran tambah fitur e-dompet. dan lebih tingkatkan lagi fitur2nya,"['saran', 'fitur', 'e', 'dompet', 'tingkatkan', 'fitur2nya']",1,"['saran', 'fitur', 'e', 'dompet', 'tingkat', 'fitur2nya']",saran fitur dompet tingkat fitur2nya
aplikasi keluar sendiri,2,2018,2,12,aplikasi keluar sendiri,['aplikasi'],-1,['aplikasi'],aplikasi
"akhirnya rilis, semoga reksadana saya dan yang lainnya berkah",5,2018,2,13,"akhirnya rilis, semoga reksadana saya dan yang lainnya berkah","['rilis', 'semoga', 'reksadana', 'berkah']",1,"['rilis', 'moga', 'reksadana', 'berkah']",rilis moga reksadana berkah
"akhirnya ada di playstore juga,selamat ya..",5,2018,2,13,"akhirnya ada di playstore juga,selamat ya..","['playstore', 'selamat', 'ya']",1,"['playstore', 'selamat', 'ya']",playstore selamat
